date,ticker,shares,buy_price,buy_value
2018-12-31,NESTLEIND,179,554.2424926757812,99209.40618896484
2018-12-31,ICICIGI,115,864.4500122070312,99411.7514038086
2019-01-31,UBL,69,1428.800048828125,98587.20336914062
2019-01-31,AXISBANK,138,722.7000122070312,99732.60168457031
2019-01-31,TORNTPHARM,109,909.4000244140625,99124.60266113281
2019-01-31,ASIANPAINT,70,1412.5999755859375,98881.99829101562
2019-01-31,DABUR,224,443.6499938964844,99377.5986328125
2019-01-31,GODFRYPHLP,322,309.76666259765625,99744.86535644531
2019-01-31,IOLCP,2460,40.540000915527344,99728.40225219727
2019-01-31,NAUKRI,285,349.4700012207031,99598.95034790039
2019-02-28,COFORGE,354,264.1400146484375,93505.56518554688
2019-02-28,DHAMPURSUG,392,238.60000610351562,93531.20239257812
2019-02-28,RECLTD,916,102.26249694824219,93672.44720458984
2019-02-28,SRF,204,459.0299987792969,93642.11975097656
2019-02-28,BALRAMCHIN,715,131.0,93665.0
2019-02-28,TECHM,112,830.1500244140625,92976.802734375
2019-02-28,PFC,1045,89.72000122070312,93757.40127563477
2019-02-28,ICICIGI,100,931.1500244140625,93115.00244140625
2019-02-28,TITAN,91,1025.199951171875,93293.19555664062
2019-03-28,MANAPPURAM,802,126.19999694824219,101212.39755249023
2019-03-28,KAJARIACER,175,576.7000122070312,100922.50213623047
2019-03-28,ASIANPAINT,67,1497.0,100299.0
2019-03-28,GODFRYPHLP,267,378.8166809082031,101144.05380249023
2019-03-28,ICICIBANK,252,400.54998779296875,100938.59692382812
2019-03-28,DCBBANK,493,204.9499969482422,101040.3484954834
2019-03-28,IPCALAB,210,479.7749938964844,100752.74871826172
2019-03-28,BAJFINANCE,337,299.5849914550781,100960.14212036133
2019-03-28,GODREJPROP,116,867.9000244140625,100676.40283203125
2019-03-28,RELIANCE,162,621.7462158203125,100722.88696289062
2019-03-28,RBLBANK,147,684.2999877929688,100592.0982055664
2019-04-30,DIVISLAB,57,1746.8499755859375,99570.44860839844
2019-04-30,TCS,44,2260.35009765625,99455.404296875
2019-04-30,HCLTECH,169,591.6749877929688,99993.07293701172
2019-04-30,TECHM,119,836.0999755859375,99495.89709472656
2019-04-30,WIPRO,671,149.27499389648438,100163.52090454102
2019-04-30,SHREECEM,5,19789.5,98947.5
2019-04-30,ICICIGI,91,1093.3499755859375,99494.84777832031
2019-05-31,AAVAS,74,1419.699951171875,105057.79638671875
2019-05-31,KOTAKBANK,69,1522.1500244140625,105028.35168457031
2019-05-31,DCMSHRIRAM,190,555.0,105450.0
2019-05-31,SBIN,299,352.5,105397.5
2019-05-31,FEDERALBNK,984,107.3499984741211,105632.39849853516
2019-05-31,JUSTDIAL,138,765.5999755859375,105652.79663085938
2019-05-31,AARTIIND,232,454.1926574707031,105372.69653320312
2019-05-31,PGHL,25,4091.050048828125,102276.25122070312
2019-05-31,NAUKRI,257,410.6600036621094,105539.62094116211
2019-05-31,BLUESTARCO,262,403.2749938964844,105658.0484008789
2019-06-28,MANAPPURAM,775,138.1999969482422,107104.9976348877
2019-06-28,ICICIBANK,245,437.1000061035156,107089.50149536133
2019-06-28,RECLTD,867,123.5999984741211,107161.19867706299
2019-06-28,HDFCAMC,51,2061.60009765625,105141.60498046875
2019-06-28,RAJESHEXPO,148,722.4000244140625,106915.20361328125
2019-06-28,BATAINDIA,74,1446.449951171875,107037.29638671875
2019-06-28,PFC,998,107.36000061035156,107145.28060913086
2019-06-28,SIEMENS,139,769.7617797851562,106996.88739013672
2019-07-31,POWERGRID,834,118.57502746582031,98891.57290649414
2019-07-31,ADANIPOWER,8112,12.199999809265137,98966.39845275879
2019-07-31,TATACONSUM,393,251.60000610351562,98878.80239868164
2019-07-31,SBILIFE,124,797.5499877929688,98896.19848632812
2019-07-31,CANFINHOME,255,387.8500061035156,98901.75155639648
2019-07-31,BALRAMCHIN,698,141.64999389648438,98871.6957397461
2019-07-31,GODREJPROP,103,952.9500122070312,98153.85125732422
2019-07-31,ICICIPRULI,246,401.75,98830.5
2019-07-31,HDFCLIFE,200,493.5,98700.0
2019-07-31,NAM-INDIA,435,227.39999389648438,98918.9973449707
2019-07-31,TORNTPOWER,324,305.29998779296875,98917.19604492188
2019-08-30,MARICO,249,391.1000061035156,97383.90151977539
2019-08-30,COFORGE,326,299.1099853515625,97509.85522460938
2019-08-30,TCS,43,2259.60009765625,97162.80419921875
2019-08-30,MCX,99,977.5,96772.5
2019-08-30,APOLLOHOSP,64,1508.1500244140625,96521.6015625
2019-08-30,IPCALAB,203,479.5249938964844,97343.57376098633
2019-08-30,BATAINDIA,63,1541.8499755859375,97136.54846191406
2019-08-30,NESTLEIND,151,643.760009765625,97207.76147460938
